,osmid,geometry,fclass,name
1301,354237690,POINT (-87.6425499 41.7689227),place_of_worship,Christian Hope New Testament Church
1302,354237753,POINT (-87.6364387 41.7733671),place_of_worship,Full Gospel Church
1303,354237767,POINT (-87.6561661 41.9414212),place_of_worship,Full Gospel Korean Church of Chicago
1304,354237809,POINT (-87.7678363 41.9236427),place_of_worship,Freeman Evangelical Lutheran Church of Chicago
1305,354237822,POINT (-87.7170004 41.8955878),place_of_worship,Freewill Church of God in Christ
1306,354237836,POINT (-87.7250561 41.8894766),place_of_worship,Full Gospel Outreach Mission
1307,354237847,POINT (-87.7414455 41.8855877),park,Fulton Park
1308,354237856,POINT (-87.6100491 41.7847562),place_of_worship,Freedom Temple Church of God in Christ
1309,354237863,POINT (-87.7472767 41.8022547),school,Frank L Baum School
1310,354237869,POINT (-87.7081111 41.8905879),hospital,Sacred Heart Hospital
1311,354237876,POINT (-87.6928321 41.8664215),place_of_worship,Free Will Missionary Baptist Church
1312,354237936,POINT (-87.697119 41.8151973),school,Franciscan Sisters School
1313,354237948,POINT (-87.747002 41.9158652),place_of_worship,Free Pentecostal Church of the Living God
1314,354237968,POINT (-87.7389453 41.8819765),place_of_worship,Corinthians Temple Church of God in Christ
1315,354238008,POINT (-87.6219942 41.7919782),place_of_worship,Coppin Memorial African Methodist Episcopal Church
1316,354238015,POINT (-87.7683878 41.778088),place_of_worship,Clearing Bible Church
1317,354238033,POINT (-87.6481053 41.757256),school,Clark E School of Beauty Culture
1318,354238086,POINT (-87.6425497 41.7630894),place_of_worship,Cluster Baptist Church
1319,354238094,POINT (-87.6208808 41.6975344),place_of_worship,Church of Today
1320,354238099,POINT (-87.656166 41.9380879),place_of_worship,Church of the Valley
1321,354238106,POINT (-87.6378355 41.9161493),place_of_worship,Church of the Three Crosses
1322,354238114,POINT (-87.7011656 41.8641992),school,Collins High School
1323,354238120,POINT (-87.7058878 41.8583658),place_of_worship,Church of the Lord Jesus Christ of the Apostolic Faith
1324,354238126,POINT (-87.7175551 41.8650324),place_of_worship,Church of the Living God Temple 93
1325,354238141,POINT (-87.651722 41.9600321),place_of_worship,Church Universal and Triumphant
1326,354238153,POINT (-87.7144993 41.8611435),place_of_worship,Claire-Christian United Methodist Church
1327,354238192,POINT (-87.7747802 41.8939206),place_of_worship,Circle Evangelical Free Church
1328,354238245,POINT (-87.6428231 41.9256905),place_of_worship,Church of Our Saviour
1329,354238254,POINT (-87.7361673 41.8803099),place_of_worship,Church of Living God
1330,354238268,POINT (-87.6783889 41.9341989),place_of_worship,Church of the Good News
1331,354238290,POINT (-87.7003302 41.7861442),place_of_worship,Church of the Christ Light
1332,354238297,POINT (-87.6856108 41.9105879),place_of_worship,Church of the Comforter
1333,354238313,POINT (-87.619494 41.7908671),place_of_worship,Church of the Good Shepherd
1334,354238322,POINT (-87.5528236 41.7297572),place_of_worship,Church of God
1335,354238329,POINT (-87.7319994 41.8419768),place_of_worship,Church of God
1336,354238335,POINT (-87.6550506 41.7797558),place_of_worship,Church of God
1337,354238343,POINT (-87.6636617 41.7689225),place_of_worship,Church of God
1338,354238349,POINT (-87.6311618 41.8158668),place_of_worship,Church of Christ with the Elijah Message
1339,354238355,POINT (-87.5858805 41.741979),place_of_worship,Church of Christ Stony Island
1340,354238361,POINT (-87.6545069 41.9461491),place_of_worship,Church of Christ Presbyterian
1341,354238369,POINT (-87.7606133 41.9028096),place_of_worship,Church of Christ
1342,354238455,POINT (-87.7203327 41.8522546),place_of_worship,Greater Whitestone Missionary Baptist Church
1343,354238481,POINT (-87.6567174 41.7808668),place_of_worship,Greater Saint John African Methodist Episcopal Church
1344,354238488,POINT (-87.7358894 41.8761433),place_of_worship,Greater Saint Johns Missionary Baptist Church
1345,354238495,POINT (-87.7247775 41.8600323),place_of_worship,Greater Sweet Home Missionary Baptist Church
1346,354238502,POINT (-87.6731058 41.7405892),place_of_worship,Greater Walters African Methodist Episcopal Zion Church
1347,354238508,POINT (-87.7308895 41.8853099),place_of_worship,Greater Mount Nebo Baptist Church
1348,354238569,POINT (-87.7436676 41.8803099),place_of_worship,Greater New Birth Church of God in Christ
1349,354238604,POINT (-87.5731024 41.7444791),place_of_worship,Greater Mount Pleasant Missionary Baptist Church
1350,354238737,POINT (-87.5569907 41.7503127),place_of_worship,Greene African Methodist Episcopal Church
1351,354238743,POINT (-87.6300474 41.6783676),place_of_worship,Greater Zion Chapel
1352,354238767,POINT (-87.6489388 41.7636449),school,Guggenheim Elementary School
1353,354239160,POINT (-87.7050545 41.8575325),place_of_worship,Greater Christian Fellowship Missionary Baptist Church
1354,354239173,POINT (-87.6406049 41.7519784),place_of_worship,Greater Bethlehem Missionary Baptist Church
1355,354239178,POINT (-87.6869989 41.8822547),place_of_worship,Greater Bethlehem Baptist Church
