,osmid,geometry,fclass,name
12421,1597800754,POINT (-73.95021 40.674145),bicycle_parking,
12422,1597801065,POINT (-73.95005 40.673676),bicycle_parking,
12423,1598063897,POINT (-73.949974 40.67418),bicycle_parking,
12424,1598072524,POINT (-73.95051 40.67357),bicycle_parking,
12425,1598076081,POINT (-73.94999 40.6731),bicycle_parking,
12426,1598146384,POINT (-73.95062 40.67098),bicycle_parking,
12427,1598429488,POINT (-73.95017 40.670933),bicycle_parking,
12428,1598429516,POINT (-73.9502 40.671284),bicycle_parking,
12429,1598430324,POINT (-73.95062 40.671356),bicycle_parking,
12430,1598430354,POINT (-73.950485 40.672024),bicycle_parking,
12431,1598430536,POINT (-73.95038 40.672363),bicycle_parking,
12432,1598431981,POINT (-73.95076 40.67242),bicycle_parking,
12433,1598432040,POINT (-73.950455 40.672604),bicycle_parking,
12434,1598436429,POINT (-73.94992 40.67334),bicycle_parking,
12435,1598437732,POINT (-73.95039 40.673386),bicycle_parking,
12436,1598437742,POINT (-73.950615 40.67341),bicycle_parking,
12437,1598437743,POINT (-73.950615 40.67341),bicycle_parking,
12438,1598445331,POINT (-73.95036 40.672947),bicycle_parking,
12439,1598454205,POINT (-73.95014 40.672398),bicycle_parking,
12440,1599499030,POINT (-73.9840621 40.6763287),cafe,Root Hill cafe
12441,1599501273,POINT (-73.9808421 40.676111),supermarket,Associated Supermarket
12442,1605519635,POINT (-73.9596575 40.6553609),fast_food,Dunkin Dounuts
12443,1605522522,POINT (-73.9599365 40.6554952),pharmacy,Duane Reade
12444,1605522918,POINT (-73.9613312 40.6551778),supermarket,Pioneer
12445,1605525994,POINT (-73.9594172 40.6555973),hairdresser,Nelson's Barber Shop
12446,1606745845,POINT (-73.9853992 40.7552546),fast_food,Cafe O 42
12447,1608794595,POINT (-73.995877 40.726185),pet,Petsmart
12448,1608795907,POINT (-73.99596 40.725998),clothes,Urban Outfitters
12449,1618345651,POINT (-73.960335 40.67452),bicycle_parking,
12450,1618345863,POINT (-73.96029 40.674686),bicycle_parking,
12451,1618345874,POINT (-73.96019 40.674828),bicycle_parking,
12452,1628523015,POINT (-73.8506588 40.7603924),marina,World's Fair Marina
12453,1629059419,POINT (-73.8552689 40.7007209),toilets,
12454,1629061749,POINT (-73.8583297 40.698427),theatre,Forest Park Bandshell
12455,1635936716,POINT (-73.9860928 40.7188138),restaurant,Antibes Bistro
12456,1640916349,POINT (-73.9635148 40.6757101),convenience,Cepeda
12457,1640916364,POINT (-73.963566 40.6760418),supermarket,
12458,1640916373,POINT (-73.9633944 40.6752159),alcohol,Grand Plaza Liquours and Wines
12459,1640916377,POINT (-73.9627587 40.6762859),convenience,
12460,1640916379,POINT (-73.9630913 40.6752505),hairdresser,
12461,1640916395,POINT (-73.9630618 40.6754071),bar,Half Court Sportsbar
12462,1640916399,POINT (-73.9630725 40.6768087),laundry,Laundry City
12463,1640916404,POINT (-73.9604748 40.6748399),school,
12464,1642095638,POINT (-73.9675973 40.7504545),information,United Nations Visitors Centre
12465,1642362613,POINT (-73.9771827 40.6810144),cafe,Blue Sky Bakery
12466,1642772578,POINT (-73.9639078 40.67744),bar,The Bearded Lady
12467,1642915622,POINT (-73.9340079 40.6797326),bench,
12468,1642915638,POINT (-73.9289198 40.6797387),parking,
12469,1653931482,POINT (-73.8359357 40.6958348),place_of_worship,Elohim Christian Church
12470,1655274715,POINT (-73.9861038 40.7485548),bar,Booger's Whisky Bar
12471,1655435369,POINT (-73.973404 40.7628165),clothes,CHANEL Boutique
12472,1656391024,POINT (-73.9825787 40.773503),theatre,Alice Tully Hall
12473,1658397649,POINT (-73.9332768 40.6720937),laundry,Bubbles Laundromat
12474,1658397650,POINT (-73.9334411 40.6721055),bicycle_parking,
12475,1658397651,POINT (-73.9334803 40.6719394),bicycle_parking,
12476,1658397652,POINT (-73.9333003 40.6719275),restaurant,Pizza Delivery
12477,1658491443,POINT (-73.9333707 40.6717199),deli,Express Deli
12478,1658491460,POINT (-73.9334959 40.6718623),bicycle_parking,
12479,1658491467,POINT (-73.9335507 40.6715181),bicycle_parking,
12480,1658491473,POINT (-73.9335272 40.6717258),bicycle_parking,
12481,1658491477,POINT (-73.9337619 40.6715241),bicycle_parking,
12482,1658491481,POINT (-73.9336132 40.6709426),bicycle_parking,
12483,1658491489,POINT (-73.9336211 40.6708239),bicycle_parking,
12484,1658491492,POINT (-73.9333316 40.6718385),hairdresser,Ivette Dominican Salon
12485,1659065632,POINT (-73.9338636 40.6706162),bicycle_parking,
12486,1659065635,POINT (-73.9336211 40.6700644),bicycle_parking,
12487,1659065636,POINT (-73.9337149 40.6697914),bicycle_parking,
12488,1659065638,POINT (-73.9336993 40.669655),bicycle_parking,
12489,1659065639,POINT (-73.9339575 40.6700466),bicycle_parking,
12490,1659065642,POINT (-73.9340357 40.6706162),video,Keelings & K.G. Regae Video Music Factory
12491,1659065643,POINT (-73.933449 40.6700525),fish,Mario's Fish Market
12492,1659065644,POINT (-73.9335663 40.6697202),butcher,Park-Way Meats
12493,1659065646,POINT (-73.9313289 40.6704085),fast_food,Sing Wah Kitchen
12494,1659110777,POINT (-73.9417102 40.6718801),fast_food,Good Taste
12495,1659110779,POINT (-73.9308517 40.6703848),bicycle_parking,
12496,1659110786,POINT (-73.9308908 40.6700881),bicycle_parking,
12497,1659110793,POINT (-73.941851 40.6718979),bicycle_parking,
12498,1659110799,POINT (-73.9309377 40.6698449),bicycle_parking,
12499,1659110804,POINT (-73.9337149 40.6695304),bicycle_parking,
12500,1659110818,POINT (-73.9309534 40.669388),bicycle_parking,
12501,1659110826,POINT (-73.9335741 40.6693761),bakery,Tropical House Bakery
12502,1659182833,POINT (-73.9312194 40.6712808),hairdresser,Aicha African Hair Braiding
12503,1659182836,POINT (-73.9311646 40.6707052),restaurant,Anthony's Corner Cafe
12504,1659182837,POINT (-73.9313211 40.6705391),bicycle_parking,
12505,1659182848,POINT (-73.9309925 40.6716605),bicycle_parking,
12506,1659182849,POINT (-73.9310551 40.6712867),bicycle_parking,
12507,1659182851,POINT (-73.9310707 40.6710138),bicycle_parking,
12508,1659182855,POINT (-73.9310551 40.6707468),bicycle_parking,
12509,1659182859,POINT (-73.931149 40.6716665),hairdresser,Top Level Unisex Salon
12510,1666263415,POINT (-73.9602181 40.7154566),fast_food,Endless Summer
12511,1666603088,POINT (-73.9545128 40.8058935),cafe,Starbucks
12512,1666605529,POINT (-73.9542097 40.8063381),bank,Chase Manhattan
12513,1667213311,POINT (-74.0108427 40.7159229),doityourself,New York Car Insurance Reform
12514,1667353975,POINT (-73.9543658 40.8061088),supermarket,Best Yet Market
12515,1667357732,POINT (-73.9536362 40.806395),bar,Moca Bar & Lounge
12516,1667358508,POINT (-73.9539903 40.8059504),restaurant,Patisserie Des Ambassades
12517,1667359770,POINT (-73.9537515 40.8069513),restaurant,Chocolat Restaurant Lounge
12518,1667400684,POINT (-73.9533679 40.8074935),alcohol,Harlem Vintage
12519,1667402828,POINT (-73.9538775 40.8056378),bakery,Lee Lee's Baked Goods
12520,1667402832,POINT (-73.9533733 40.8068051),restaurant,Bad Horse Pizza
12521,1667405946,POINT (-73.955495 40.8046977),pub,Harlem Tavern
12522,1667405950,POINT (-73.9547118 40.8048886),restaurant,Lido
12523,1667407048,POINT (-73.955275 40.8049414),bakery,Levain Bakery
12524,1667407727,POINT (-73.955334 40.8048764),fast_food,Subway
12525,1667408553,POINT (-73.9548298 40.8044216),alcohol,The Winery
12526,1667410041,POINT (-73.9562943 40.8035486),bicycle,Mod Squad Cycles
12527,1667412119,POINT (-73.9566859 40.8022817),restaurant,Zoma
12528,1667412535,POINT (-73.9566376 40.8031019),restaurant,Melba's
12529,1667413045,POINT (-73.9568468 40.8020015),restaurant,5 & Diamond
12530,1667413581,POINT (-73.9567878 40.8028502),pub,Bier International
12531,1667418892,POINT (-73.9530327 40.8061352),restaurant,Cedric
12532,1667419712,POINT (-73.9532312 40.8062286),restaurant,Billie's Black Bar & Lounge
12533,1667420596,POINT (-73.9545347 40.8051525),pharmacy,Rite Aid
12534,1667424565,POINT (-73.9546082 40.8083957),convenience,Mo Deli
12535,1667527236,POINT (-74.0034002 40.7420667),hotel,Dream Downtown
12536,1669534151,POINT (-73.981217 40.7745261),sports_centre,Reebok Sports Club/NY
12537,1669534157,POINT (-73.9825581 40.7743961),clothes,Zara
12538,1672886064,POINT (-73.9312194 40.6712808),hairdresser,Aicha African Hair Braiding
12539,1672886065,POINT (-73.9311646 40.6707052),restaurant,Anthony's Corner Cafe
12540,1672886066,POINT (-73.9304799 40.6721862),mobile_phone,Crown Heights Cell Games Beyond
12541,1672886067,POINT (-73.9313211 40.6705391),bicycle_parking,
12542,1672886068,POINT (-73.9305223 40.6730372),bicycle_parking,
12543,1672886069,POINT (-73.9305353 40.6727643),bicycle_parking,
12544,1672886071,POINT (-73.9309234 40.6725541),bicycle_parking,
12545,1672886074,POINT (-73.9306601 40.6721967),bicycle_parking,
12546,1672886080,POINT (-73.9306601 40.6719549),bicycle_parking,
12547,1672886082,POINT (-73.9309925 40.6716605),bicycle_parking,
12548,1672886086,POINT (-73.9306601 40.6716396),bicycle_parking,
12549,1672886089,POINT (-73.9310551 40.6712867),bicycle_parking,
12550,1672886094,POINT (-73.9310707 40.6710138),bicycle_parking,
12551,1672886096,POINT (-73.9310551 40.6707468),bicycle_parking,
12552,1672886098,POINT (-73.9312337 40.6695868),bicycle_parking,
12553,1672886100,POINT (-73.9304938 40.6719444),hairdresser,Sachelle Hair Salon
12554,1672886108,POINT (-73.931149 40.6716665),hairdresser,Top Level Unisex Salon
12555,1672886109,POINT (-73.9304522 40.6716185),bicycle_parking,Wines & Liquors
12556,1672886113,POINT (-73.9311036 40.6725435),convenience,1 Stop Grocery
12557,1672905738,POINT (-73.9304043 40.6724688),bicycle_parking,
12558,1672905739,POINT (-73.9418386 40.6742141),bicycle_parking,
12559,1672905740,POINT (-73.9303943 40.6733667),bicycle_parking,
12560,1672905741,POINT (-73.9418374 40.6741214),bicycle_parking,
12561,1672905742,POINT (-73.9305733 40.6725466),bicycle_parking,
12562,1672905743,POINT (-73.9419257 40.6736253),bicycle_parking,
12563,1672905744,POINT (-73.9419285 40.67354),bicycle_parking,
12564,1672905745,POINT (-73.9419336 40.6734832),bicycle_parking,
12565,1672905746,POINT (-73.941945 40.6732932),bicycle_parking,
12566,1672905747,POINT (-73.9419576 40.673189),bicycle_parking,
12567,1672905748,POINT (-73.9419503 40.6730798),bicycle_parking,
12568,1672905749,POINT (-73.9418041 40.6725512),bicycle_parking,
12569,1672905750,POINT (-73.9418452 40.672261),bicycle_parking,
12570,1672905751,POINT (-73.941917 40.6707129),bicycle_parking,
12571,1672905752,POINT (-73.9419992 40.670146),bicycle_parking,
12572,1672905753,POINT (-73.9419343 40.6705391),bicycle_parking,
12573,1672998842,POINT (-73.9838855 40.7210441),cafe,Dessert Truck Works
12574,1673332200,POINT (-73.98259 40.7234945),restaurant,Kate's Joint
12575,1673332219,POINT (-73.9982529 40.7150349),restaurant,Vegetarian Dim Sum House
12576,1673710053,POINT (-73.9854347 40.7782452),pharmacy,CVS/pharmacy
12577,1675125075,POINT (-73.8058226 40.871846),parking,
12578,1681635816,POINT (-73.9853911 40.7192748),arts_centre,ABC No Rio
12579,1681677555,POINT (-73.9889997 40.7213407),cafe,Bluestockings
12580,1681677575,POINT (-73.9889889 40.7212758),restaurant,Tiengarden
12581,1682930317,POINT (-73.9538705 40.7814879),supermarket,Gristedes Supermarket
12582,1682939598,POINT (-73.9540422 40.7818576),pharmacy,Duane Reade
12583,1683220197,POINT (-73.924412 40.758134),supermarket,Bravo International Market
12584,1683222646,POINT (-73.9279146 40.7556352),restaurant,Café Triskell
12585,1683225522,POINT (-73.9833702 40.6729845),restaurant,Stone Park Cafe
12586,1683229023,POINT (-73.9870713 40.6738467),car_repair,Pep Boys
12587,1683399834,POINT (-73.9863406 40.7225085),pub,Nice Guy Eddie's
12588,1683668210,POINT (-73.9862628 40.6056834),library,Highlawn Branch Brooklyn Public Library
12589,1684014132,POINT (-73.9816301 40.744605),hotel,Hotel 31
12590,1686606296,POINT (-73.968735 40.8015731),post_box,
12591,1686607090,POINT (-73.9674404 40.799589),post_office,Cathedral Station
12592,1687417135,POINT (-73.9351521 40.6825409),clothes,The Little Red Boutique
12593,1687419175,POINT (-73.9306817 40.6560246),fast_food,McDonalds
12594,1687420339,POINT (-73.9259383 40.658308),supermarket,Pathmark
12595,1687420804,POINT (-73.9291998 40.65948),playground,Wintrop Park
12596,1687420915,POINT (-73.928363 40.664591),swimming_pool,Lincoln Pool
12597,1687422726,POINT (-73.9310023 40.6577708),fuel,BP Gas Station
12598,1687715557,POINT (-73.9676798 40.8014274),post_box,
12599,1691451705,POINT (-73.9953461 40.7283821),Toilet,Think cafe
12600,1691452282,POINT (-74.0029144 40.7341232),Toilet,Rivera cafe
12601,1693299134,POINT (-74.0091958 40.7063713),museum,Museum of American Finance
12602,1693918273,POINT (-73.9917688 40.6736486),bar,The Bell House
12603,1695866185,POINT (-74.0108009 40.7106381),department_store,Century 21
12604,1696892390,POINT (-73.9878818 40.7264641),police,9th Precinct NYPD
12605,1696973996,POINT (-73.935249 40.6830972),bar,Therapy Wine Bar
12606,1696974007,POINT (-73.9353429 40.6836158),restaurant,Saragina's
12607,1696974009,POINT (-73.9352383 40.6829772),restaurant,Besos
12608,1696985451,POINT (-73.9350512 40.6836279),restaurant,Ma and Pop
12609,1696985452,POINT (-73.934667 40.6816245),hairdresser,Marlenes
12610,1696985453,POINT (-73.9346347 40.6815533),books,Brownstone Books
12611,1696985454,POINT (-73.9346677 40.6816937),bakery,Breadstuy
12612,1696985455,POINT (-73.9346858 40.6818605),restaurant,Peaches
12613,1696985456,POINT (-73.9350801 40.6837379),restaurant,Ms. Sues
12614,1696985457,POINT (-73.9354824 40.6833616),laundry,laundry mat
