,osmid,geometry,fclass,name
2897,713437695,POINT (-77.0638048 38.905309),clothes,Tommy Hilfiger
2898,713440641,POINT (-77.0636104 38.9049928),clothes,Anthropologie
2899,713441648,POINT (-77.0637042 38.9053122),clothes,True Religion Brand Jeans
2900,713443540,POINT (-77.0635514 38.9053111),gift,Georgetown Gallery Souvenirs
2901,713445273,POINT (-77.0634494 38.904997),clothes,H&M
2902,713456955,POINT (-77.0634876 38.9053115),clothes,Riccardi
2903,713470113,POINT (-77.0654265 38.9049809),clothes,J. McLaughlin
2904,713474201,POINT (-77.0653979 38.9052387),atm,Capital One
2905,713474998,POINT (-77.0655548 38.905269),hairdresser,Alanya
2906,713476306,POINT (-77.0656152 38.9052731),hairdresser,Jinx Proof
2907,713476993,POINT (-77.0656527 38.9052658),pub,Modern
2908,713482645,POINT (-77.0665801 38.9052593),electronics,AT&T Wireless
2909,715750685,POINT (-77.068304 38.925399),embassy,Embassy of Iraq
2910,715750826,POINT (-77.0677545 38.9255811),embassy,Embassy of Nepal
2911,715864648,POINT (-77.06702 38.9411945),embassy,Embassy of Ethiopia
2912,715864649,POINT (-77.0666982 38.9427133),embassy,Embassy of China
2913,715864662,POINT (-77.0680286 38.9434309),embassy,Embassy of Pakistan
2914,717722810,POINT (-77.0641487 38.9086177),cafe,Avocado Cafe
2915,717722813,POINT (-77.0629608 38.9069766),optician,Georgetown Optician
2916,718282240,POINT (-77.0638978 38.9077269),fast_food,Kitchen No. 1
2917,718492080,POINT (-77.0471479 38.9097979),restaurant,Urbana
2918,719149444,POINT (-77.0380082 38.9098628),restaurant,Skewers
2919,719149447,POINT (-77.0382878 38.9098041),pharmacy,CVS
2920,719191146,POINT (-77.0379671 38.9109196),restaurant,Hank's Oyster Bar
2921,719191190,POINT (-77.0382997 38.9101014),fast_food,Dunkin Donuts
2922,719191223,POINT (-77.0381924 38.9101014),fast_food,Baskin Robbins
2923,719191272,POINT (-77.038299 38.910153),cafe,Cafe Green
2924,719555884,POINT (-77.038225 38.91197),fast_food,McDonald's
2925,719556953,POINT (-77.038226 38.911632),fast_food,Subway
2926,720234697,POINT (-77.0625917 38.9044032),hairdresser,Bogarts Hair Salon
2927,721020178,POINT (-77.0624987 38.905024),clothes,Lacoste
2928,721022217,POINT (-77.0624248 38.9050253),tobacco,Georgetown Tobacco
2929,721027161,POINT (-77.0593221 38.905376),fast_food,Iceberry
2930,721033717,POINT (-77.0507367 38.9009967),cafe,Starbucks Coffee
2931,721033816,POINT (-77.0482721 38.9015984),restaurant,Panda Cafe
2932,721034025,POINT (-77.0481595 38.90156),restaurant,Mehran
2933,721034788,POINT (-77.0446203 38.9007963),cafe,Starbucks
2934,721035456,POINT (-77.0447008 38.9010385),fast_food,Penn Grill
