osmid,geometry,created_by,man_made,name,leisure,amenity,addr:street,addr:housenumber
357561137,POINT (-73.9256924 40.8556556),,,George Washington High School,,school,,
357561540,POINT (-73.94972 40.68139),,,Brooklyn Adult Training Center,,school,,
357561593,POINT (-73.7090199 40.743713),,,Glen Oaks School,,school,,
357561600,POINT (-73.8915251 40.7070471),,,Joseph F Mafera Park,park,,,
357561633,POINT (-73.8818027 40.704825),,,Glendale Playground,park,,,
357561834,POINT (-73.7679104 40.7739907),,,John Golden Park,park,,,
357561847,POINT (-73.9562971 40.7543565),,,Coler - Goldwater Memorial Hospital Goldwater Campus,,hospital,,
357561857,POINT (-73.9076366 40.8103786),,,Gompers Vocational High School,,school,,
357561914,POINT (-73.9401376 40.6042714),,,Good Shepherd School,,school,,
357562147,POINT (-74.1322159 40.6350705),,,Faith United Methodist Church,,place_of_worship,,
357562187,POINT (-73.7351319 40.7148249),,,Grace School,,school,,
357562195,POINT (-73.9662494 40.5820495),,,William E Grady High School,,school,,
357562394,POINT (-73.974583 40.5945493),,,Gravesend Cemetery,,grave_yard,,
357562399,POINT (-73.9840277 40.6234376),,,Gravesend Park,park,,,
357562455,POINT (-74.1262534 40.548161),,,Great Kills Park,park,,,
357563098,POINT (-73.9881946 40.7703792),,,John Jay College of Criminal Justice,,school,,
357563110,POINT (-73.73556 40.6525),,,Public School 195,,school,,
357563150,POINT (-73.8395788 40.8734332),,,Haffen Park,park,,,
357563214,POINT (-73.9803114 40.683796),,,Sarah J Hale High School (historical),,school,,
357563380,POINT (-73.9393043 40.6756589),,,Hamilton Vocational High School,,school,,
357563570,POINT (-73.9399754 40.8143054),,,Harlem Hospital Center,,hospital,,
357563646,POINT (-73.8918025 40.8762108),,,Harris Park,park,,,
357563924,POINT (-73.92556 40.82028),,,Cardinal Hayes High School,,school,,
357564028,POINT (-73.9887501 40.6331597),,,Hebrew Academy,,school,,
357564037,POINT (-73.9973616 40.7392686),,,Hebrew Center,,school,,
357564041,POINT (-73.9184704 40.6623258),,,Hebrew Home and Hospital,,hospital,,
357564044,POINT (-73.90472 40.84611),,,Hebrew Hospital (historical),,hospital,,
357564047,POINT (-73.9545662 40.7110252),,,Hebrew School,,school,,
357564051,POINT (-73.8347054 40.7187765),,,Mesorah Academy,,school,,
357564183,POINT (-73.7754107 40.7181583),,,Henley School,,school,,
357564201,POINT (-73.85806 40.82917),,,Intermediate School 125,,school,,
357564243,POINT (-74.0873639 40.6303816),,,Hero Park,park,,,
357564440,POINT (-73.8908301 40.8783299),,,Bronx High School of Science,,school,,
357564491,POINT (-73.8898585 40.686492),,,Highland Park,park,,,
357564656,POINT (-73.7098533 40.7514907),,,Hillside Hospital,,hospital,,
357565022,POINT (-73.7954112 40.7712128),,,Holy Cross High School,,school,,
357565028,POINT (-73.9537492 40.6501038),,,Holy Cross School,,school,,
357565033,POINT (-73.8612463 40.8178786),,,Holy Cross School,,school,,
357565055,POINT (-73.9004143 40.6445483),,,Holy Family School,,school,,
357565060,POINT (-73.9898613 40.6670478),,,Holy Family School,,school,,
357565063,POINT (-73.9540269 40.7234356),,,Holy Family School,,school,,
357565066,POINT (-73.794578 40.7287136),,,Holy Family School,,school,,
357565099,POINT (-73.9820832 40.631493),,,Holy Ghost School,,school,,
357565120,POINT (-73.9623605 40.6445483),,,Holy Innocents School,,school,,
357565126,POINT (-73.9095812 40.6887142),,,Holy Martyrs School,,school,,
357565140,POINT (-73.9804165 40.6589925),,,Holy Name of Jesus School,,school,,
357565194,POINT (-73.9295818 40.680381),,,Holy Rosary School,,school,,
357565198,POINT (-73.8426345 40.8676),,,Holy Rosary School,,school,,
357565453,POINT (-73.89778 40.89306),,,Horace Mann High School,,school,,
357565575,POINT (-73.91597 40.8456558),,,House of Calvary Hospital,,hospital,,
357565615,POINT (-73.8402156 40.6647415),,,Howard Park General Hospital,,hospital,,
357565749,POINT (-73.91944 40.88194),,,Henry Hudson Memorial Park,park,,,
357565778,POINT (-74.0026396 40.7434351),,,Hughes High School,,school,,
357565825,POINT (-73.8848583 40.692603),,,Hungarian Cemetery,,grave_yard,,
357566034,POINT (-74.0829192 40.6239929),,,Immaculate Conception School,,school,,
357566037,POINT (-73.7842999 40.715936),,,Immaculate Conception School,,school,,
357566041,POINT (-73.9104145 40.7773236),,,Immaculate Conception School,,school,,
357566070,POINT (-74.1629266 40.5984437),,,Immanuel Lutheran Church,,place_of_worship,,
357566073,POINT (-74.1312592 40.6201093),,,Immanuel Church,,place_of_worship,,
357566226,POINT (-73.8593016 40.8584334),,,Institute for Education of the Blind,,school,,
357566327,POINT (-73.9879168 40.7356576),,,Washington Irving High School,,school,,
357566345,POINT (-73.9095813 40.6923252),,,Irving Square,park,,,
357566526,POINT (-73.8706912 40.5678831),,,Jacob Riis Park,park,,,
357566549,POINT (-73.7981892 40.7142694),,,Jamaica High School,,school,,
357566553,POINT (-73.8163824 40.7001485),,,Jamaica Hospital Medical Center,,hospital,,
357566607,POINT (-73.8931919 40.6637146),,,Jefferson Field,park,,,
357566610,POINT (-73.8951364 40.6670479),,,Thomas Jefferson High School,,school,,
357566747,POINT (-73.95944 40.67556),,,Jewish Hospital Medical Center of Brooklyn,,hospital,,
357566750,POINT (-73.9338549 40.6596895),,,Kingsbrook Jewish Medical Center,,hospital,,
357566786,POINT (-73.8368014 40.6787144),,,John Adams High School,,school,,
357566796,POINT (-73.8239827 40.7385737),,,Q425 John Bowne High School,,school,,
357566882,POINT (-73.9787499 40.6692701),,,John Jay High School,,school,,
357566892,POINT (-73.8404121 40.885933),,,John Phillip Sousa School,,school,,
357567177,POINT (-73.9251373 40.6895474),,,Junior Academy,,school,,
357567183,POINT (-73.91278 40.75944),,,Intermediate School 10,,school,,
357567188,POINT (-73.9443043 40.7959343),,,Public School 101,,school,,
357567191,POINT (-73.8294546 40.8271665),,,Middle School X101 Edward R Byrne,,school,,
357567194,POINT (-73.9273596 40.7009361),,,Intermediate School 347,,school,,
357567197,POINT (-73.9349028 40.8463803),,,Public School 115,,school,,
357567201,POINT (-73.8984694 40.8567668),,,Junior High School 115,,school,,
357567204,POINT (-73.90889 40.84861),,,Junior High School 117,,school,,
357567207,POINT (-73.9711822 40.7916273),,,Junior High School 118 JOAN OF ARC (historical),,school,,
357567210,POINT (-73.89278 40.84833),,,Middle School 118,,school,,
357567214,POINT (-73.9815277 40.7137136),,,Junior High School 12,,school,,
357567217,POINT (-73.9437488 40.8026009),,,Junior High School 120,,school,,
357567220,POINT (-73.9065253 40.8223228),,,Middle School 301,,school,,
357567226,POINT (-73.8740946 40.8249562),,,Junior High School X123 James M Kiernan,,school,,
357567230,POINT (-73.91944 40.74056),,,Intermediate School 125,,school,,
357567233,POINT (-73.9479157 40.7198246),,,Junior High School 126,,school,,
357567236,POINT (-73.9545826 40.7270466),,,Junior High School 126,,school,,
357567240,POINT (-73.93056 40.76583),,,Intermediate School 126,,school,,
357567243,POINT (-73.85389 40.83833),,,Middle School 127,,school,,
357567249,POINT (-73.9951392 40.6048269),,,Public School 128,,school,,
357567253,POINT (-73.86556 40.8625),,,Middle School 135,,school,,
357567256,POINT (-74.0073618 40.6523259),,,Middle School 136,,school,,
357567260,POINT (-73.9470821 40.8173228),,,Junior High School 136,,school,,
357567262,POINT (-73.8979139 40.8312116),,,Junior High School 136,,school,,
357567265,POINT (-73.9401375 40.8176007),,,Junior High School 139,,school,,
357567268,POINT (-73.905 40.77556),,,Intermediate School 141,,school,,
357567271,POINT (-73.91472 40.88778),,,Middle School/High School 141,,school,,
357567275,POINT (-74.0018144 40.6795831),,,Middle School 142 Stranahan Community School (historical),,school,,
357567278,POINT (-73.8009671 40.6837144),,,Junior High School 142,,school,,
357567281,POINT (-73.90194 40.87528),,,Middle School 143 (historical),,school,,
357567285,POINT (-73.88778 40.75361),,,Intermediate School 145,,school,,
357567290,POINT (-73.91389 40.8275),,,Junior High School 145,,school,,
357567294,POINT (-73.9451379 40.6989917),,,Junior High School 148 (historical),,school,,
357567297,POINT (-73.8929141 40.6692701),,,Junior High School 149,,school,,
357567300,POINT (-73.92056 40.81306),,,Middle School 149,,school,,
357567302,POINT (-73.9095375 40.8110514),,,Foreign Language Academy of Global Studies,,school,,
357567306,POINT (-73.85361 40.73222),,,Junior High School 157,,school,,
357567309,POINT (-73.77278 40.75611),,,Middle School 158,,school,,
357567312,POINT (-73.860691 40.7492687),,,Junior High School 16,,school,,
357567315,POINT (-73.9201372 40.7067694),,,Intermediate School 162,,school,,
357567319,POINT (-73.9370817 40.8370447),,,Intermediate School 164 (historical),,school,,
357567322,POINT (-73.8858311 40.6600034),,,Junior High School K166 George Gershwin,,school,,
357567325,POINT (-73.9579159 40.7717681),,,Junior High School 167,,school,,
357567329,POINT (-73.8090815 40.7241493),,,Junior High School 168 Parsons School (historical),,school,,
357567332,POINT (-73.951249 40.7923233),,,Public School 171,,school,,
357567335,POINT (-73.9156925 40.6751033),,,Junior High School 178,,school,,
357567339,POINT (-73.82583 40.58417),,,Middle School 180,,school,,
357567343,POINT (-73.81889 40.775),,,Junior High School 185,,school,,
357567347,POINT (-73.9773674 40.7197101),,,Public School M188 The Island School,,school,,
357567350,POINT (-73.81833 40.76),,,Junior High School 189,,school,,
357567353,POINT (-73.85222 40.72306),,,Junior High School 190,,school,,
357567356,POINT (-73.80694 40.78306),,,Junior High School 194,,school,,
357567368,POINT (-73.78722 40.59444),,,Middle School 198,,school,,
357567373,POINT (-73.84583 40.67111),,,Middle School 202,,school,,
357567377,POINT (-73.9287485 40.6726033),,,Junior High School 210,,school,,
357567380,POINT (-73.84806 40.68472),,,Middle School 210,,school,,
357567383,POINT (-73.8956919 40.6431595),,,Intermediate School 211,,school,,
357567386,POINT (-73.81278 40.71028),,,Junior High School 217,,school,,
357567390,POINT (-73.8245788 40.7373245),,,Junior High School 218,,school,,
357567393,POINT (-73.9140255 40.8320449),,,Junior High School 22,,school,,
357567396,POINT (-74.0009727 40.6409372),,,Intermediate School 220,,school,,
357567400,POINT (-73.9818054 40.6348263),,,Intermediate School 223,,school,16th Avenue,4200
357567403,POINT (-73.9956947 40.621771),,,Intermediate School 227,,school,,
357567406,POINT (-73.9768053 40.6006604),,,Intermediate School 228,,school,,
357567410,POINT (-73.75972 40.66472),,,Intermediate School 231,,school,,
357567413,POINT (-73.9287485 40.6587147),,,Intermediate School 232,,school,,
357567417,POINT (-73.9548602 40.6042714),,,Intermediate School 234,,school,,
357567420,POINT (-73.9465266 40.6237154),,,Intermediate School 240,,school,,
357567423,POINT (-73.9456934 40.6817698),,,Junior High School 258,,school,,
357567430,POINT (-73.911248 40.6662146),,,Junior High School 263,,school,,
357567433,POINT (-73.9809668 40.6979009),,,Intermediate/High School 265,,school,,
357567436,POINT (-73.9066781 40.6557908),,,Junior High School 275 Thelma Hamilton (historical),,school,,
357567440,POINT (-73.9384709 40.6064935),,,Intermediate School 278,,school,,
357567443,POINT (-73.9206926 40.6470483),,,Intermediate School 285,,school,,
357567446,POINT (-73.9979171 40.6870474),,,Junior High School 29,,school,,
357567449,POINT (-73.8934697 40.6714923),,,Intermediate School 292,,school,,
357567453,POINT (-73.9106924 40.6887141),,,Intermediate School 296,,school,,
357567456,POINT (-74.0059729 40.732602),,,Public School 3,,school,,
357567459,POINT (-73.9184702 40.8101008),,,Junior High School 30,,school,,
357567461,POINT (-73.9476379 40.6967695),,,Intermediate School 33,,school,,
357567465,POINT (-73.9359709 40.6814921),,,Junior High School 35,,school,,
