osm_id,code,fclass,name,x,y
358765658,2082,school,Fair Oaks Elementary School (historical),-121.2641161,38.6457375
358765663,2082,school,Fair Play School,-120.6582633,38.5868507
358765670,2082,school,Fairbanks Elementary School,-121.4616212,38.6265709
358765674,2082,school,Fairchild School,-121.3416127,37.887981
358765676,2082,school,Fairfield High School,-122.0307998,38.2746352
358765679,2082,school,Fairfield School,-122.036633,38.2535247
358765682,2082,school,Fairfield School,-121.8408182,38.5474354
358765685,2082,school,Fairhaven School,-121.4221582,36.890786
358765688,2082,school,Highland Elementary School,-122.3283037,37.9713121
358765691,2082,school,Fairmont Elementary School,-122.4808672,37.660618
358765694,2082,school,Fairmont School,-122.1252424,37.7093745
358765704,2204,park,Fairmont Terrace Park,-122.1132975,37.7079857
358765708,2082,school,Fairmont Terrace School,-122.111353,37.7090968
358765711,2082,school,Fairmount Union School,-119.5656891,36.7805059
358765717,2082,school,Fairoaks School,-122.0149604,37.3918852
358765720,2082,school,Fair Oaks Elementary School,-122.0510738,37.9446453
358765724,2082,school,Fairsite Elementary School,-121.2991152,38.2507485
358765737,2082,school,Fairview Elementary School,-121.0216003,37.5952092
358765740,2082,school,Fairview Elementary School,-122.0525747,37.6805
358765743,2082,school,Burton Valley Elementary School,-122.0935749,37.8624255
358765746,2082,school,Fairview Elementary School,-122.0510777,38.2513027
358765755,2082,school,Fall Creek School,-122.3575192,41.9848634
358765767,2082,school,Fammatre Elementary School,-121.9244,37.2718876
358765778,2082,school,Faria Elementary School,-122.0394882,37.3207871
358765783,2082,school,Mary Farmar Elementary School,-122.1702449,38.0626981
358765790,2082,school,Farnham Elementary School,-121.9435119,37.2609351
358765792,2082,school,Farquhar School,-122.4636193,40.3129303
358765799,2082,school,Admiral David Glascow Farragut Elementary School,-122.2613592,38.1118639
358765807,2204,park,Faulkner County Park,-123.4047309,39.0049004
358765816,2082,school,Feather River School,-121.6108035,39.3829439
358765819,2082,school,Federal Terrace Elementary School,-122.2685818,38.1229748
358765828,2082,school,Felta School,-122.8805499,38.5804663
358765853,2082,school,Fieldbrook Elementary School,-124.0331192,40.9565162
358765866,2082,school,Fillmore Elementary School,-121.2555013,37.9690903
358765904,2082,school,Five Wounds School,-121.8635656,37.3502187
358765935,2082,school,Fletcher Walker Elementary School,-121.0032931,40.3076666
358765945,2082,school,James Flood Magnet School,-122.1698971,37.4764893
358765951,2082,school,Floral School,-121.6513618,39.5084973
358765954,2082,school,Florin Elementary School,-121.404397,38.4924078
358765962,2082,school,Flournoy Elementary School,-122.4474975,39.921544
358765978,2204,park,Folsom Lake State Recreation Area,-121.1330017,38.7315688
358765982,2082,school,Foothill College,-122.1288042,37.3612722
358765985,2082,school,Foothill Farms Junior High School,-121.3480072,38.6757365
358765988,2082,school,Foothill High School,-121.3491184,38.6796253
358765995,2082,school,Foothill Elementary School,-122.0347878,37.2660642
358766001,2082,school,Foothill Middle School,-122.0157948,37.9215902
358766008,2082,school,Ford Elementary School,-122.3526214,37.9514554
358766015,2082,school,Forest Grove Elementary School,-121.9279635,36.6100061
358766017,2082,school,Forest Hill School,-121.9820234,37.2755201
358766022,2082,school,Forest Springs School,-121.0641153,39.1562838
358766027,2082,school,Redwood Elementary School,-123.7947376,39.4373902
358766030,2204,park,Fort Humboldt State Historical Monument,-124.1878394,40.7773487
358766034,2082,school,Fort Miller Middle School,-119.7951458,36.7855045
358766040,2082,school,Fort Ross Elementary School,-123.2644524,38.5571348
358766047,2082,school,Fort Washington Elementary School,-119.7673597,36.8596133
358766058,2082,school,Fortuna Nursery School,-124.1492166,40.5198555
358766063,2204,park,Forward Park,-122.2438862,40.1851552
358766074,2082,school,Four Trees School,-121.0527165,37.8463153
358766094,2082,school,Carroll Fowler Elementary School,-120.9477097,37.5988205
358766096,2204,park,Fox Grove Park,-120.8402073,37.6210426
358766103,2082,school,Foxridge School,-122.4488622,37.6388238
358766119,2082,school,Frank Otis Elementary School,-122.2383847,37.753909
358766125,2082,school,Franklin Senior High School,-121.2374454,37.968257
358766131,2082,school,Benjamin Franklin Middle School (historical),-122.4375096,37.7831493
358766140,2082,school,Franklin School,-119.6104087,36.5182839
358766147,2082,school,Franklin Elementary School,-121.8510701,37.304371
358766154,2082,school,Benjamin Franklin Intermediate School,-122.4821951,37.694933
358766158,2082,school,Franklin School,-122.4094153,37.764652
358766160,2082,school,Franklin School,-122.2605247,37.7688176
358766163,2082,school,Franklin Elementary School,-122.2488579,37.7935391
358766169,2082,school,Franklin Elementary School,-121.1721699,38.7876786
358766171,2082,school,Franklin Elementary School,-121.6896903,39.1276699
358766175,2082,school,Humboldt County Office of Education (formerly Franklin School),-124.1495058,40.801516
358766196,2082,school,Freeport Elementary School,-121.4926932,38.4807448
358766200,2204,park,Fremont Central Park,-121.9627377,37.5538248
358766202,2204,park,Fremont Ford State Park,-120.9252033,37.3018833
358766209,2082,school,Fremont Senior High School (historical),-122.2085787,37.774095
358766211,2082,school,Pinewood High School,-122.1419083,37.3879959
358766217,2082,school,Fremont Junior High School,-121.8438408,36.5991267
358766220,2082,school,Fremont Middle School,-121.2657793,37.9665904
358766239,2082,school,Fremont Middle School,-119.6790253,36.632728
358766252,2082,school,Fremont School,-121.9499215,37.3507066
358766254,2082,school,Fremont School (historical),-122.1821871,37.4443832
358766258,2082,school,Fremont School,-122.4008042,37.7349307
358766262,2082,school,Fremont School,-122.4410824,37.7774296
358766264,2082,school,Fremont Elementary School,-121.8119003,38.0074214
358766266,2082,school,Fremont School,-122.7144314,38.4463006
358766269,2082,school,Fremont Adult School,-121.475788,38.5701833
358766271,2204,park,Fremont Square,-121.2874462,37.9574238
358766274,2082,school,French Creek School,-120.9302177,38.6135166
358766276,2204,park,French Gulch County Park,-122.6372402,40.7093141
358766289,2082,school,Fresno High School,-119.805146,36.7677265
358766295,2082,school,Fresno Union Academy,-119.8209798,36.7499484
358766308,2082,school,Fricot Ranch School,-120.5357587,38.1735302
358766315,2082,school,Frontier Elementary School,-121.3430071,38.6835141
358766322,2082,school,Fruit Ridge Elementary School,-121.4541208,38.5326843
358766324,2082,school,Redwood Middle School,-122.0150472,37.2653915
358766331,2082,school,Frederick C Joyce Elementary School,-121.3816192,38.6765699
358766334,2082,school,Fruitvale School,-121.233562,38.9123981
358766345,2204,park,Fuller Park,-122.292474,38.2935257
358766348,2082,school,East Bay Work Training Center,-122.1438541,37.7179854
