osmid,source,geometry,created_by,highway,amenity,education,ele,gnis:county_id,gnis:created
354096949,,POINT (-87.6960576 41.9310396),,,school,,181,031,09/30/1999
354096962,,POINT (-87.5778243 41.7200347),,,school,,178,031,09/30/1999
354096969,,POINT (-87.6686658 41.9119768),,,school,,182,031,09/30/1999
354097015,,POINT (-87.6922755 41.8289217),,,school,,182,031,01/15/1980
354097073,,POINT (-87.6167164 41.7975338),,,school,,183,031,09/30/1999
354097153,,POINT (-87.6697776 41.9380878),,,school,,182,031,09/30/1999
354097174,,POINT (-87.7150545 41.8455881),,,school,,182,031,09/30/1999
354097250,,POINT (-87.6708872 41.8828104),,,school,,182,031,09/30/1999
354097258,,POINT (-87.6214381 41.7714229),,,school,,179,031,09/30/1999
354097447,,POINT (-87.7181118 41.9041988),,,school,,184,031,09/30/1999
354097497,,POINT (-87.6817208 41.8728104),,,,,181,031,01/15/1980
354097629,,POINT (-87.7820033 41.9175315),,,school,,196,031,09/30/1999
354097884,,POINT (-87.696896 41.9752471),Potlatch 0.10f,,school,,186,031,09/30/1999
354097901,,POINT (-87.563935 41.7278127),,,school,,181,031,01/15/1980
354097991,,POINT (-87.765891 41.897254),,,school,,189,031,09/30/1999
354098165,,POINT (-87.5808803 41.7394791),,,school,,178,031,09/30/1999
354098199,,POINT (-87.7912154 41.7949297),,,school,,185,031,01/15/1980
354098242,,POINT (-87.6981104 41.8775324),,,school,,181,031,09/30/1999
354098299,,POINT (-87.5347669 41.7069796),,,school,,180,031,09/30/1999
354098457,,POINT (-87.773821 41.9698396),Potlatch 0.10f,,school,,189,031,01/15/1980
354098531,,POINT (-87.6589749 41.8938034),,,school,,180,031,09/30/1999
354098677,,POINT (-87.623383 41.789756),,,school,,183,031,09/30/1999
354098701,,POINT (-87.69644 41.7422556),,,school,,189,031,09/30/1999
354099118,,POINT (-87.6517163 41.746145),,,school,,183,031,01/15/1980
354099206,,POINT (-87.7019995 41.8822546),,,school,,182,031,09/30/1999
354099450,,POINT (-87.6467209 41.9258657),,,hospital,,183,031,01/15/1980
354099490,,POINT (-87.5731023 41.7380904),,,school,,181,031,09/30/1999
354099495,,POINT (-87.7992358 41.9551347),,,hospital,,194,031,09/30/1999
354099507,,POINT (-87.6883883 41.8969768),,,school,,183,031,09/30/1999
354099532,,POINT (-87.75978 41.907254),,,school,,187,031,01/15/1980
354099536,,POINT (-87.7006116 41.9180878),,,school,,182,031,01/15/1980
354099571,,POINT (-87.6945002 41.9180878),,,school,,182,031,09/30/1999
354099635,,POINT (-87.7193407 41.9783226),Potlatch 0.10f,,school,,182,031,01/15/1980
354099646,,POINT (-87.7770038 41.943087),,,school,,190,031,01/15/1980
354099881,,POINT (-87.7539462 41.8964208),,,school,,186,031,01/15/1980
354099896,,POINT (-87.6858856 41.8022553),,,school,,182,031,01/15/1980
354099996,,POINT (-87.7703349 41.8678097),,,school,,187,031,09/30/1999
354100065,,POINT (-87.5439329 41.6544796),,,school,,178,031,09/30/1999
354100137,,POINT (-87.6675531 41.8566995),,,school,,182,031,09/30/1999
354100143,,POINT (-87.6597721 41.7453116),,,school,,184,031,09/30/1999
354100172,,POINT (-87.6839453 41.9553098),,,school,,181,031,09/30/1999
354100223,,POINT (-87.5647686 41.7417015),,,school,,178,031,09/30/1999
354100339,,POINT (-87.7061682 41.9514208),,,school,,180,031,09/30/1999
354100383,,POINT (-87.698669 41.9928095),,,school,,180,031,09/30/1999
354100818,,POINT (-87.7125546 41.8528103),,,school,,183,031,01/15/1980
354100867,,POINT (-87.6981138 42.0036426),,,school,,182,031,09/30/1999
354100900,,POINT (-87.6947785 41.9386431),,,school,,181,031,01/15/1980
354101168,,POINT (-87.6814437 41.8997546),,,school,,182,031,09/30/1999
354101196,,POINT (-87.6825558 41.9344766),,,school,,180,031,01/15/1980
354101365,,POINT (-87.7578361 41.9280873),,,,,188,031,09/30/1999
354101513,,POINT (-87.6569952 41.7844779),,,school,,182,031,09/30/1999
354101563,,POINT (-87.6033815 41.7572565),,,school,,179,031,01/15/1980
354101698,,POINT (-87.7003312 41.822255),,,school,,182,031,09/30/1999
354101734,,POINT (-87.7322773 41.845588),,,school,,183,031,09/30/1999
354101780,,POINT (-87.7047808 42.0094757),,,school,,182,031,09/30/1999
354101876,,POINT (-87.7245002 41.8783655),,,school,,184,031,09/30/1999
354101925,,POINT (-87.6250502 41.8047559),,,school,,183,031,09/30/1999
354101965,,POINT (-87.6744994 41.9158656),,,school,,183,031,09/30/1999
354102007,,POINT (-87.6545002 41.9741987),,,school,,181,031,01/15/1980
354102023,,POINT (-87.7306132 41.9386429),,,school,,184,031,01/15/1980
354102027,,POINT (-87.6239398 41.8317001),,,school,,181,031,01/15/1980
354102220,,POINT (-87.6103259 41.7433676),,,school,,180,031,09/30/1999
354102386,,POINT (-87.7256094 41.8053105),,,school,,183,031,01/15/1980
354102423,,POINT (-87.6081058 41.8253114),,,school,,183,031,09/30/1999
354102680,,POINT (-87.7085693 41.7747212),,,school,,185,031,01/15/1980
354102692,,POINT (-87.7242221 41.8644767),,,school,,183,031,01/15/1980
354102701,,POINT (-87.5649138 41.7456246),,,,,178,031,09/30/1999
354102780,,POINT (-87.641995 41.7958669),,,school,,182,031,09/30/1999
354102829,,POINT (-87.6847767 41.8839214),,,school,,182,031,09/30/1999
354102836,,POINT (-87.8139077 41.9421426),,,school,,194,031,09/30/1999
354102882,,POINT (-87.6236601 41.7622563),,,school,,179,031,09/30/1999
354102895,,POINT (-87.6808862 41.8314218),,,school,,183,031,09/30/1999
354102902,,POINT (-87.6494952 41.7953113),,,hospital,,182,031,01/15/1980
354103133,,POINT (-87.6669955 41.7828112),,,school,,182,031,01/15/1980
354103138,,POINT (-87.5825468 41.7264236),,,school,,183,031,09/30/1999
354103174,,POINT (-87.6164381 41.7797562),,,school,,181,031,09/30/1999
354103281,,POINT (-87.7158882 41.8586435),,,school,,182,031,09/30/1999
354103314,,POINT (-87.6392148 41.6964231),,,school,,186,031,01/15/1980
354103326,,POINT (-87.7614493 41.9994757),,,school,,187,031,09/30/1999
354103383,,POINT (-87.657553 41.8644773),,,,,181,031,01/15/1980
354103433,,POINT (-87.6681056 41.7389226),,,school,,185,031,09/30/1999
354103596,,POINT (-87.6550494 41.7300339),,,school,,185,031,09/30/1999
354103703,,POINT (-87.7153334 41.8858656),,,school,,184,031,09/30/1999
354103724,,POINT (-87.5475441 41.656424),,,school,,178,031,01/15/1980
354103763,,POINT (-87.6400484 41.7108674),,,school,,183,031,09/30/1999
354103849,,POINT (-87.6158834 41.8142004),,,school,,183,031,01/15/1980
354103888,,POINT (-87.6695017 42.0097536),,,school,,180,031,09/30/1999
354104091,,POINT (-87.6697712 41.6892006),,,school,,190,031,09/30/1999
354104392,,POINT (-87.7303329 41.845588),,,school,,182,031,01/15/1980
354104450,,POINT (-87.7639461 41.8808652),,,school,,187,031,09/30/1999
354104478,,POINT (-87.6343022 41.7820849),,,school,,182,031,01/15/1980
354104510,,POINT (-87.6711687 42.0208644),,,school,,182,031,09/30/1999
354104522,,POINT (-87.6883854 41.7933664),,,school,,182,031,01/15/1980
354104651,,POINT (-87.6892188 41.7908664),,,school,,183,031,01/15/1980
354104755,,POINT (-87.6478304 41.8628108),,,school,,181,031,01/15/1980
354104767,,POINT (-87.7168929 41.8901642),,,,,184,031,01/15/1980
354104794,,POINT (-87.7220001 41.8814211),,,hospital,,184,031,01/15/1980
354104991,,POINT (-87.6764423 41.8536439),,,school,,182,031,01/15/1980
354105147,,POINT (-87.6122723 41.8180893),,,school,,183,031,09/30/1999
354105164,,POINT (-87.6686627 41.7972555),,,school,,182,031,01/15/1980
354105790,,POINT (-87.7495026 41.9355873),,,school,,187,031,09/30/1999
354105847,,POINT (-87.6247723 41.8028115),,,school,,183,031,01/15/1980
354105863,,POINT (-87.5647692 41.7661458),,,school,,179,031,01/15/1980
354105902,,POINT (-87.7078321 41.8486437),,,school,,183,031,09/30/1999
354106129,,POINT (-87.6228259 41.7247565),,,school,,182,031,09/30/1999
354106224,,POINT (-87.7644993 41.7969768),,,school,,183,031,01/15/1980
354106250,,POINT (-87.6931114 41.9225322),,,school,,182,031,09/30/1999
354106274,,POINT (-87.5661569 41.7094793),,,school,,179,031,01/15/1980
354106280,,POINT (-87.6708843 41.7725335),,,school,,183,031,01/15/1980
354106311,,POINT (-87.6231026 41.6703122),,,school,,185,031,09/30/1999
354106319,,POINT (-87.7322772 41.8414213),,,school,,182,031,01/15/1980
354106353,,POINT (-87.6972788 41.9472542),,,school,,179,031,01/15/1980
354106399,,POINT (-87.6958873 41.8525326),,,school,,183,031,09/30/1999
354106434,,POINT (-87.6608849 41.8078111),,,school,,182,031,09/30/1999
354106487,,POINT (-87.621159 41.7180899),,,school,,182,031,09/30/1999
354106514,,POINT (-87.6344961 41.8469776),,,,,177,031,01/15/1980
354106599,,POINT (-87.6753314 41.8653105),,,school,,181,031,09/30/1999
354106703,,POINT (-87.7589478 41.9491983),,,school,,187,031,09/30/1999
354106773,,POINT (-87.6672746 41.828922),,,school,,181,031,09/30/1999
354106894,,POINT (-87.6358866 41.9061438),,,school,,181,031,09/30/1999
354106941,,POINT (-87.6436622 41.813089),,,school,,182,031,09/30/1999
354106984,,POINT (-87.7269992 41.8408657),,,school,,181,031,01/15/1980
354106989,,POINT (-87.7558916 41.9300317),,,school,,188,031,01/15/1980
354107360,,POINT (-87.6883878 41.8789214),,,school,,181,031,09/30/1999
354107887,,POINT (-87.6692186 41.8105888),,,school,,182,031,01/15/1980
354107892,,POINT (-87.6042154 41.7753119),,,school,,180,031,01/15/1980
354107935,,POINT (-87.6922738 41.7694777),,,hospital,,184,031,01/15/1980
354108098,,POINT (-87.6022702 41.7539233),,,school,,179,031,09/30/1999
354108144,,POINT (-87.6339371 41.8498198),,,school,,179,031,09/30/1999
354108287,,POINT (-87.6997753 41.8125329),,,school,,182,031,09/30/1999
354108585,,POINT (-87.6450492 41.7394784),,,school,,183,031,01/15/1980
354108634,,POINT (-87.7183886 41.8705879),,,school,,183,031,09/30/1999
354109288,,POINT (-87.640885 41.8391999),,,school,,182,031,09/30/1999
354109304,,POINT (-87.7461657 41.8086436),,,school,,182,031,09/30/1999
354109365,,POINT (-87.7122771 41.8633657),,,school,,182,031,01/15/1980
354109452,,POINT (-87.7214441 41.8636435),,,school,,183,031,09/30/1999
354109487,,POINT (-87.6806098 41.879477),,,school,,180,031,09/30/1999
354109505,,POINT (-87.7397797 41.9219763),,,,,185,031,01/15/1980
354109606,,POINT (-87.668668 41.994754),,,school,,181,031,09/30/1999
354109711,,POINT (-87.6319936 41.757534),,,school,,181,031,09/30/1999
354109887,,POINT (-87.7561686 41.8994763),,,school,,186,031,09/30/1999
354109921,,POINT (-87.7361673 41.8783655),,,school,,184,031,09/30/1999
354109940,,POINT (-87.6728298 41.8075332),,,school,,182,031,09/30/1999
354109990,,POINT (-87.6342175 41.8158668),,,school,,181,031,09/30/1999
354109997,,POINT (-87.6719959 41.7908666),,,school,,182,031,01/15/1980
354110011,,POINT (-87.7158909 41.9586429),,,school,,181,031,01/15/1980
354110228,,POINT (-87.6394985 41.9314213),,,school,,181,031,01/15/1980
354110357,,POINT (-87.613601 41.6883807),,,school,,182,031,01/15/1980
354110443,,POINT (-87.664221 41.9030881),,,school,,182,031,01/15/1980
354110520,,POINT (-87.6692177 41.7750335),,,school,,183,031,01/15/1980
354110585,,POINT (-87.5867361 41.7937104),,,school,,180,031,09/30/1999
354110659,,POINT (-87.6541454 41.838175),,,school,,181,031,09/30/1999
354110728,,POINT (-87.6492175 41.7936446),,,school,,182,031,09/30/1999
354110827,,POINT (-87.6125502 41.8222558),,,school,,184,031,01/15/1980
354111030,,POINT (-87.6226674 41.8198516),,,school,,183,031,01/15/1980
